topic,topic_word,weght_topic
0,женщина,0.09819266
0,мужчина,0.07421095
0,глаз,0.016590135
0,секс,0.016021151
0,..,0.015256774
0,должный,0.014890926
0,жениться,0.013464548
0,умный,0.013090152
0,самый,0.01204255
0,жизнь,0.011765773
0,сделать,0.011058455
0,один,0.010880211
0,вид,0.010577181
0,думать,0.010362437
0,делать,0.010146002
0,нога,0.009139899
0,главное,0.009044198
0,мозг,0.008947332
0,что,0.008891871
0,постоянно,0.00828216
0,хотеть,0.0074851797
0,грудь,0.007468299
0,заметить,0.0072099953
0,чувствовать,0.007132932
0,голова,0.006839021
0,заниматься,0.0068073394
0,обязательно,0.0062806504
0,человек,0.0062761935
0,власть,0.006016852
0,ладный,0.0056697004
0,держать,0.0055197948
0,ум,0.0052021192
0,смотреть,0.005018142
0,сила,0.0048550707
0,причина,0.004785704
0,доказать,0.004724764
0,платье,0.004669212
0,начинать,0.0045518684
0,интересный,0.0043414137
0,принимать,0.004340574
0,стать,0.004229753
0,нести,0.004091375
0,способ,0.004046157
0,дело,0.0040408554
0,ради,0.00400742
0,понимать,0.0039855633
0,находиться,0.003933652
0,большинство,0.0039155837
0,театр,0.0037717724
0,место,0.0037521545
0,видно,0.0036879478
0,такой,0.003614359
0,трамвай,0.00360837
0,билет,0.003583485
0,задница,0.003398429
0,готовый,0.0033209499
0,взгляд,0.0033048778
0,неужели,0.0032667639
0,вообще-то,0.0031805816
0,сиська,0.0031371491
0,известный,0.0031022434
0,наоборот,0.0030910738
0,вперёд,0.0029745877
0,большой,0.0029537485
0,труд,0.0029220104
0,примета,0.0029174634
0,орган,0.0028858888
0,тратить,0.002851962
0,часть,0.0028472133
0,некоторый,0.002800197
0,свой,0.0027691727
0,спальня,0.0027505201
0,происходить,0.0027228838
0,долгий,0.002681908
0,чудо,0.0026337276
0,отдых,0.002550709
0,напоминать,0.0025350766
0,вывод,0.00252858
0,роза,0.00247179
0,жить,0.002450103
0,понять,0.0024454852
0,коробка,0.0024119546
0,положение,0.0023321523
0,передать,0.0022902149
0,нос,0.0022476637
0,стройный,0.0022174725
0,дышать,0.002217392
0,учёный,0.002212968
0,наблюдать,0.002188414
0,добиться,0.0020939014
0,стрелять,0.002070612
0,смех,0.0020660332
0,оказываться,0.0020616932
0,ка,0.0020518107
0,важный,0.0020171776
0,илья,0.0019923747
0,подозревать,0.0019807639
0,туфля,0.001946574
0,прямо,0.0019381149
0,остановиться,0.0019342412
1,слышать,0.019995319
1,...,0.017713116
1,хотеться,0.01670859
1,вопрос,0.015350412
1,..,0.015005081
1,умереть,0.014019252
1,спросить,0.0125901345
1,ответить,0.011233859
1,абрам,0.010206663
1,ухо,0.010176686
1,послать,0.0095325885
1,попробовать,0.008938767
1,удаться,0.008541038
1,москва,0.007904163
1,ответ,0.007575914
1,потерять,0.0074883434
1,запретить,0.007395314
1,гражданин,0.007282936
1,смерть,0.0068854326
1,получиться,0.0065015047
1,учёный,0.006283831
1,бл,0.006239877
1,судить,0.0061896024
1,голос,0.006121642
1,зайти,0.006119728
1,настроение,0.006037722
1,петь,0.0060243225
1,очередь,0.0058786212
1,мат,0.0058180406
1,надеть,0.005763131
1,профессор,0.005761157
1,близкий,0.005616531
1,стоить,0.005556023
1,какой,0.005548414
1,будущее,0.0054798485
1,выходной,0.005467208
1,улыбаться,0.0053239497
1,спасти,0.0050297095
1,собраться,0.005008745
1,достать,0.0048384517
1,лишний,0.004737098
1,первый,0.004626302
1,захотеть,0.004527161
1,жить,0.0045174467
1,думать,0.0045023863
1,сзади,0.004396895
1,оружие,0.0043934104
1,решить,0.004393032
1,говорить,0.004340719
1,паспорт,0.0042526
1,как-то,0.004200135
1,эх,0.0040771775
1,двор,0.004053211
1,родственник,0.0040397546
1,украина,0.0040246546
1,поговорить,0.0040233075
1,чей,0.00399433
1,бог,0.0039299806
1,хотеть,0.0039220727
1,глядеть,0.0038676756
1,поп,0.0038256545
1,гинеколог,0.0037648517
1,цирк,0.003700246
1,видеть,0.0036905266
1,число,0.0036457872
1,форма,0.0036443393
1,отличный,0.0035100481
1,стать,0.0034690711
1,один,0.0034639644
1,жалко,0.003429097
1,развестись,0.0034266163
1,мент,0.0032961725
1,партия,0.0031767741
1,изобрести,0.0031402889
1,программист,0.003082087
1,слава,0.0030673759
1,телефонный,0.0030472216
1,сразу,0.0030108613
1,пароль,0.0029804339
1,признак,0.0029211512
1,ть,0.0029096962
1,спрашивать,0.0029042324
1,мороженое,0.002899174
1,линия,0.002825811
1,советский,0.002825282
1,вода,0.0028206294
1,рюмка,0.0028141805
1,серьёзно,0.0028049531
1,идти,0.0027720036
1,проверять,0.0026728734
1,ощущение,0.002648179
1,рада,0.0026360124
1,смочь,0.002617646
1,радостно,0.0025998282
1,произносить,0.0025038843
1,предупреждать,0.0024938027
1,намного,0.0024844052
1,гладить,0.002454914
1,пи,0.0024532625
1,хм,0.002447732
2,доктор,0.027165072
2,ждать,0.01660493
2,бабушка,0.016119469
2,туалет,0.01141752
2,верить,0.010756455
2,болеть,0.01029049
2,...,0.0097966
2,извинить,0.009542836
2,счастливый,0.00927509
2,товарищ,0.009260248
2,кофе,0.00895709
2,правильно,0.008744209
2,..,0.008642948
2,вставать,0.008112315
2,разный,0.007896679
2,плакать,0.0077188574
2,волос,0.007562339
2,поздно,0.007025344
2,женатый,0.006785409
2,приходиться,0.0067235106
2,официант,0.006669282
2,утро,0.006588617
2,дедушка,0.0065663755
2,оставаться,0.0064674714
2,брак,0.006431101
2,принести,0.0061916667
2,поймать,0.0061295824
2,иванов,0.005837204
2,милиция,0.0058091143
2,семейный,0.0057619843
2,таблетка,0.005468537
2,последний,0.005161121
2,ненавидеть,0.005114072
2,совесть,0.0051098703
2,команда,0.0050754324
2,первый,0.0048783016
2,посадить,0.0048051504
2,чистый,0.0047891177
2,волноваться,0.0046547665
2,сделать,0.004636765
2,приходить,0.0046255807
2,этаж,0.0042930134
2,ваш,0.0042618355
2,митинг,0.0042556566
2,унитаз,0.00425124
2,враг,0.004174455
2,утром,0.004152884
2,внук,0.0039946875
2,победить,0.0039668703
2,принц,0.003774717
2,остановка,0.0037280673
2,прийти,0.0037117593
2,следующий,0.0036616586
2,задержать,0.0035327394
2,состоять,0.0035256932
2,касса,0.0035003908
2,налог,0.0033497007
2,сказать,0.0033210102
2,грустный,0.0033199536
2,супружеский,0.0033031509
2,мышь,0.0032547582
2,сверху,0.0032544686
2,военкомат,0.0032283748
2,мой,0.003228098
2,совершенно,0.003194411
2,мерседес,0.0031399282
2,звук,0.0031048344
2,старушка,0.0030595106
2,воздух,0.003047307
2,скандал,0.0030263308
2,приглашать,0.0029815875
2,демократия,0.0029697092
2,крайний,0.0028762717
2,куча,0.0028518834
2,роддом,0.0028264027
2,зимой,0.0028125723
2,новый,0.0027950269
2,начало,0.0027726053
2,догадаться,0.00275237
2,шанс,0.0027319794
2,продаваться,0.0027273123
2,работник,0.0027220561
2,сразу,0.0027076479
2,голос,0.002702544
2,еб,0.0026729847
2,500,0.0026496013
2,порядочный,0.0026252733
2,общественный,0.0026120543
2,стоить,0.0025911091
2,адвокат,0.0025608835
2,смешной,0.00250442
2,улыбка,0.0024999955
2,маска,0.002497686
2,лекция,0.0024782887
2,начать,0.002476727
2,во-вторых,0.002472917
2,кирпич,0.0024727096
2,колесо,0.002439341
2,бесить,0.0024209335
2,приводить,0.0024096968
3,жена,0.080886446
3,муж,0.055166498
3,...,0.03796158
3,девушка,0.037402265
3,..,0.02057011
3,домой,0.016057523
3,приходить,0.01519876
3,парень,0.013785211
3,хотеть,0.012525938
3,мой,0.011997545
3,дом,0.011571916
3,спрашивать,0.0104629705
3,дорогой,0.010388232
3,купить,0.010258767
3,давать,0.010185203
3,мужик,0.010051516
3,вчера,0.0098919505
3,знать,0.009529087
3,девочка,0.009125771
3,прийти,0.009093511
3,сосед,0.0090452405
3,выходить,0.008676973
3,выйти,0.0085785445
3,есть,0.008542658
3,видеть,0.00789966
3,уйти,0.007385081
3,работа,0.0073072966
3,идти,0.007063387
3,думать,0.0068976707
3,какой,0.0066466834
3,дать,0.0064728423
3,любимый,0.0064578117
3,разговаривать,0.0063175955
3,твой,0.006258741
3,сидеть,0.006244424
3,замуж,0.0062351343
3,ой,0.006204205
3,делать,0.006177692
3,дорога,0.005962256
3,взять,0.005782149
3,слушать,0.00561092
3,заходить,0.0054371166
3,вернуться,0.0052792174
3,интернет,0.0051113395
3,яйцо,0.0050119837
3,раз,0.0048301155
3,кухня,0.004821824
3,сказать,0.00469429
3,таки,0.004593506
3,ходить,0.0045668785
3,новый,0.0045453846
3,вечером,0.0045004627
3,свой,0.0044567655
3,говорить,0.0043542176
3,что-то,0.0043131416
3,познакомиться,0.0038408614
3,посмотреть,0.0037734264
3,уходить,0.003758272
3,бар,0.0036508488
3,стоить,0.0036270702
3,сара,0.0035816608
3,мочь,0.003570723
3,съесть,0.0035060071
3,встать,0.003409431
3,трус,0.003240826
3,узнать,0.0032129176
3,такой,0.0032123225
3,ресторан,0.003187758
3,спать,0.0031513728
3,вместе,0.0031139953
3,дело,0.0031046139
3,понравиться,0.002758315
3,подходить,0.0026880135
